location_type,industry_hint,business_size,cleaning_needs_m2,budget_eur,prior_cleaning_machine,usage_frequency,dirt_type,eco_preference,price_sensitivity,customer_segment
urban,horeca,100,9766,5878,da,zilnic,usoara,nu,ridicat,horeca
urban,retail,34,3329,1875,nu,saptamanal,medie,da,scazut,firma_curatenie
urban,firm_curatenie,57,6459,1206,da,saptamanal,usoara,da,ridicat,firma_curatenie
urban,industrial,68,9348,50,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,73,997,2170,nu,zilnic,usoara,nu,ridicat,persoana_fizica
periurban,horeca,136,14332,3678,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,retail,88,10716,1804,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,horeca,22,1655,3424,da,saptamanal,medie,nu,scazut,horeca
rural,persoana_fizica,3,410,88,da,zilnic,medie,nu,scazut,persoana_fizica
urban,horeca,85,4535,4451,da,zilnic,usoara,nu,mediu,horeca
urban,persoana_fizica,2,140,157,nu,saptamanal,greu,nu,ridicat,persoana_fizica
rural,firm_curatenie,118,22764,2288,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,188,14313,2210,da,lunar,medie,nu,ridicat,firma_curatenie
urban,horeca,28,2123,59,nu,lunar,greu,nu,ridicat,persoana_fizica
urban,persoana_fizica,2,246,266,nu,saptamanal,usoara,nu,mediu,horeca
urban,firm_curatenie,145,28200,1215,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,horeca,66,12987,3303,nu,ocazional,medie,nu,ridicat,firma_curatenie
urban,horeca,58,6967,885,nu,saptamanal,greu,nu,scazut,firma_curatenie
urban,firm_curatenie,147,1500,1520,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,5,905,229,da,lunar,medie,nu,scazut,horeca
rural,retail,5,591,1204,da,lunar,medie,da,ridicat,persoana_fizica
periurban,firm_curatenie,41,3261,975,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,5,837,210,nu,zilnic,usoara,nu,mediu,persoana_fizica
urban,persoana_fizica,5,429,186,nu,zilnic,usoara,nu,mediu,persoana_fizica
urban,horeca,135,2223,3523,nu,lunar,usoara,nu,mediu,horeca
urban,persoana_fizica,3,498,170,nu,zilnic,medie,nu,scazut,persoana_fizica
urban,horeca,128,14555,3962,nu,saptamanal,greu,nu,ridicat,firma_curatenie
urban,persoana_fizica,4,296,154,da,zilnic,medie,nu,mediu,horeca
periurban,firm_curatenie,22,1268,2597,da,zilnic,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,2,245,127,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,persoana_fizica,4,198,151,da,zilnic,medie,da,mediu,persoana_fizica
urban,firm_curatenie,168,12017,2730,nu,zilnic,usoara,nu,scazut,firma_curatenie
urban,horeca,52,6808,2228,nu,lunar,usoara,nu,ridicat,horeca
periurban,industrial,433,76854,1486,da,saptamanal,usoara,nu,ridicat,firma_curatenie
periurban,horeca,21,2336,5595,nu,lunar,usoara,nu,scazut,horeca
periurban,persoana_fizica,1,154,197,nu,zilnic,usoara,nu,scazut,persoana_fizica
urban,industrial,17,2634,6414,nu,ocazional,usoara,nu,ridicat,horeca
urban,persoana_fizica,5,681,50,nu,ocazional,medie,da,scazut,persoana_fizica
urban,persoana_fizica,3,170,306,da,zilnic,medie,nu,mediu,persoana_fizica
urban,retail,60,10481,5675,da,ocazional,usoara,da,mediu,horeca
urban,retail,14,1300,3990,nu,zilnic,medie,nu,scazut,firma_curatenie
periurban,persoana_fizica,4,73,310,nu,lunar,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,3,169,167,nu,saptamanal,medie,da,mediu,persoana_fizica
urban,horeca,78,12125,3377,da,saptamanal,medie,da,mediu,horeca
urban,industrial,176,4071,6464,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,4,151,144,nu,saptamanal,greu,nu,ridicat,firma_curatenie
urban,firm_curatenie,152,21569,1875,nu,lunar,usoara,da,scazut,firma_curatenie
rural,retail,50,8979,1298,nu,saptamanal,usoara,nu,mediu,firma_curatenie
periurban,persoana_fizica,1,130,168,nu,saptamanal,usoara,nu,mediu,persoana_fizica
rural,firm_curatenie,75,3917,2840,nu,ocazional,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,4,80,58,nu,ocazional,usoara,nu,scazut,persoana_fizica
urban,horeca,126,15986,4429,da,ocazional,medie,nu,ridicat,firma_curatenie
urban,retail,80,1520,607,nu,ocazional,usoara,da,mediu,horeca
urban,firm_curatenie,33,4171,2052,nu,saptamanal,medie,da,ridicat,firma_curatenie
periurban,retail,76,4017,2672,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,909,245,nu,zilnic,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,77,7720,1819,da,ocazional,medie,nu,ridicat,firma_curatenie
urban,industrial,365,19180,1865,nu,zilnic,greu,da,mediu,firma_curatenie
urban,persoana_fizica,2,344,214,da,saptamanal,medie,da,ridicat,firma_curatenie
periurban,horeca,99,5768,6258,da,zilnic,usoara,da,scazut,horeca
urban,persoana_fizica,1,68,198,nu,zilnic,greu,nu,mediu,firma_curatenie
urban,retail,11,1853,1442,da,zilnic,usoara,nu,ridicat,horeca
urban,horeca,101,6935,2299,nu,lunar,medie,da,ridicat,firma_curatenie
urban,firm_curatenie,166,14596,2150,da,zilnic,usoara,nu,ridicat,firma_curatenie
periurban,firm_curatenie,177,13461,1731,da,saptamanal,greu,nu,mediu,firma_curatenie
periurban,horeca,13,417,2388,da,lunar,usoara,nu,ridicat,persoana_fizica
rural,retail,9,156,4092,da,lunar,usoara,da,scazut,persoana_fizica
periurban,persoana_fizica,3,442,241,nu,zilnic,greu,da,scazut,persoana_fizica
urban,firm_curatenie,138,18295,1881,nu,ocazional,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,118,7510,1889,nu,lunar,medie,nu,ridicat,firma_curatenie
urban,horeca,143,9461,3259,da,zilnic,usoara,nu,mediu,horeca
urban,industrial,134,25399,6680,nu,lunar,medie,nu,ridicat,firma_curatenie
periurban,horeca,65,12847,4923,nu,lunar,greu,da,scazut,firma_curatenie
urban,industrial,259,25887,3764,da,saptamanal,medie,nu,mediu,firma_curatenie
rural,persoana_fizica,2,324,120,nu,zilnic,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,17,2549,1443,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,retail,14,930,1449,nu,lunar,medie,nu,scazut,persoana_fizica
urban,persoana_fizica,5,105,77,nu,saptamanal,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,2,74,312,da,lunar,usoara,nu,scazut,persoana_fizica
urban,industrial,29,4909,7563,da,saptamanal,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,54,8042,50,nu,saptamanal,medie,da,scazut,firma_curatenie
urban,firm_curatenie,168,22885,2217,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,4,139,169,da,saptamanal,medie,nu,scazut,persoana_fizica
urban,horeca,92,12105,2256,da,ocazional,greu,da,mediu,firma_curatenie
periurban,firm_curatenie,73,11439,50,nu,lunar,medie,da,scazut,firma_curatenie
urban,firm_curatenie,41,7114,1974,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,144,1802,2076,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,retail,42,5882,1087,da,lunar,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,58,790,3622,nu,lunar,greu,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,288,263,nu,lunar,medie,da,ridicat,persoana_fizica
urban,persoana_fizica,2,261,114,nu,saptamanal,medie,nu,ridicat,persoana_fizica
urban,horeca,45,1718,4534,nu,ocazional,medie,nu,mediu,horeca
urban,firm_curatenie,49,7622,1534,nu,lunar,medie,da,ridicat,firma_curatenie
rural,retail,11,252,3766,nu,zilnic,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,194,32401,557,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,retail,88,5259,2704,nu,saptamanal,usoara,da,mediu,firma_curatenie
urban,retail,49,6903,1040,da,lunar,usoara,nu,mediu,firma_curatenie
urban,horeca,9,1669,1743,da,zilnic,medie,nu,mediu,horeca
periurban,persoana_fizica,4,298,50,nu,saptamanal,greu,nu,mediu,persoana_fizica
urban,persoana_fizica,1,105,101,nu,saptamanal,medie,da,mediu,persoana_fizica
urban,horeca,48,4703,1139,nu,zilnic,usoara,nu,mediu,horeca
urban,retail,24,958,861,nu,saptamanal,medie,da,scazut,horeca
urban,retail,40,4886,2726,da,lunar,greu,da,mediu,firma_curatenie
urban,horeca,23,3476,350,nu,saptamanal,medie,nu,ridicat,horeca
periurban,persoana_fizica,3,552,223,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,industrial,204,35017,8017,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,industrial,352,37630,2332,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,2,293,193,nu,saptamanal,medie,nu,mediu,persoana_fizica
rural,persoana_fizica,3,486,173,da,zilnic,usoara,nu,ridicat,firma_curatenie
urban,horeca,86,8923,2382,nu,zilnic,usoara,nu,ridicat,firma_curatenie
periurban,industrial,163,5204,50,nu,lunar,greu,da,mediu,persoana_fizica
urban,firm_curatenie,145,13514,873,da,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,2,340,316,nu,lunar,usoara,nu,scazut,persoana_fizica
urban,horeca,71,8758,3485,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,horeca,126,18603,2637,nu,zilnic,usoara,nu,ridicat,horeca
urban,horeca,91,4113,50,nu,lunar,usoara,nu,mediu,horeca
periurban,industrial,396,76516,6779,da,zilnic,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,59,5119,1088,da,ocazional,usoara,nu,scazut,firma_curatenie
urban,persoana_fizica,1,134,101,nu,zilnic,medie,da,ridicat,persoana_fizica
urban,firm_curatenie,62,842,862,nu,saptamanal,medie,da,mediu,firma_curatenie
rural,firm_curatenie,67,2290,2510,da,zilnic,medie,nu,mediu,persoana_fizica
periurban,horeca,95,15065,2893,da,ocazional,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,4,775,269,da,ocazional,usoara,nu,mediu,persoana_fizica
rural,horeca,130,9205,4688,nu,zilnic,medie,nu,scazut,horeca
urban,horeca,28,477,1890,nu,saptamanal,medie,da,scazut,horeca
urban,firm_curatenie,76,5970,1957,da,zilnic,medie,da,scazut,firma_curatenie
periurban,horeca,13,173,2545,da,lunar,usoara,nu,mediu,horeca
periurban,industrial,375,17456,914,da,saptamanal,usoara,da,mediu,firma_curatenie
urban,industrial,430,65776,1346,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,horeca,98,18428,2753,nu,zilnic,medie,da,mediu,firma_curatenie
urban,persoana_fizica,5,133,195,nu,lunar,medie,nu,ridicat,persoana_fizica
rural,industrial,348,40368,4835,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,185,10773,1946,nu,lunar,medie,nu,ridicat,firma_curatenie
urban,retail,82,2986,1520,nu,lunar,usoara,nu,mediu,persoana_fizica
urban,industrial,161,8308,11364,da,zilnic,greu,nu,mediu,horeca
urban,firm_curatenie,153,18325,2231,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,104,2327,1424,nu,lunar,usoara,nu,mediu,firma_curatenie
rural,industrial,49,4532,6206,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,178,131,nu,zilnic,medie,da,mediu,persoana_fizica
urban,firm_curatenie,146,9024,2026,nu,lunar,usoara,nu,scazut,firma_curatenie
urban,horeca,113,5225,3601,nu,ocazional,medie,nu,scazut,firma_curatenie
periurban,horeca,8,1422,3826,da,ocazional,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,3,433,99,nu,lunar,usoara,da,scazut,persoana_fizica
urban,persoana_fizica,1,175,442,da,saptamanal,medie,da,scazut,persoana_fizica
periurban,industrial,379,31403,8545,nu,saptamanal,usoara,nu,mediu,firma_curatenie
periurban,horeca,89,6189,6048,nu,zilnic,greu,nu,mediu,horeca
periurban,persoana_fizica,1,82,179,nu,saptamanal,usoara,nu,mediu,persoana_fizica
rural,persoana_fizica,2,27,219,nu,zilnic,usoara,da,mediu,persoana_fizica
urban,horeca,111,16394,3054,nu,saptamanal,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,52,3975,1452,da,ocazional,usoara,da,scazut,firma_curatenie
urban,industrial,437,30385,7272,nu,ocazional,usoara,nu,scazut,firma_curatenie
periurban,retail,47,5811,1439,nu,ocazional,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,3,278,255,da,zilnic,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,2,392,160,da,ocazional,usoara,da,ridicat,persoana_fizica
urban,firm_curatenie,121,9400,2399,nu,zilnic,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,1,126,316,da,saptamanal,greu,nu,mediu,persoana_fizica
urban,persoana_fizica,4,276,189,nu,lunar,medie,nu,mediu,horeca
rural,persoana_fizica,2,396,262,da,saptamanal,medie,nu,mediu,horeca
rural,industrial,117,11064,3473,da,ocazional,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,5,652,105,nu,saptamanal,usoara,nu,scazut,persoana_fizica
urban,horeca,146,4975,5492,nu,saptamanal,usoara,nu,scazut,horeca
urban,retail,18,2686,3397,nu,zilnic,medie,da,mediu,horeca
periurban,firm_curatenie,175,10701,1865,nu,ocazional,usoara,da,ridicat,firma_curatenie
periurban,horeca,120,11428,4044,nu,saptamanal,medie,nu,ridicat,horeca
urban,horeca,77,13690,1475,nu,lunar,medie,nu,ridicat,horeca
urban,horeca,78,15163,3663,da,lunar,medie,nu,mediu,firma_curatenie
periurban,retail,83,7525,2760,da,lunar,medie,nu,ridicat,horeca
periurban,persoana_fizica,4,674,252,da,saptamanal,medie,da,scazut,persoana_fizica
urban,retail,72,1449,4470,da,saptamanal,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,3,513,315,da,lunar,medie,nu,ridicat,persoana_fizica
urban,horeca,45,5832,916,da,ocazional,usoara,nu,ridicat,persoana_fizica
urban,retail,55,5656,105,nu,lunar,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,161,28833,2245,da,zilnic,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,63,10748,2169,da,zilnic,medie,da,mediu,firma_curatenie
periurban,persoana_fizica,1,66,109,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,horeca,28,4490,1558,da,lunar,usoara,nu,mediu,horeca
periurban,firm_curatenie,148,4277,1229,da,saptamanal,greu,nu,scazut,firma_curatenie
urban,persoana_fizica,4,665,306,da,lunar,greu,nu,scazut,persoana_fizica
urban,persoana_fizica,5,691,162,da,ocazional,medie,nu,mediu,persoana_fizica
urban,horeca,136,3630,744,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,industrial,491,68634,4806,da,zilnic,medie,nu,scazut,firma_curatenie
periurban,persoana_fizica,4,481,199,nu,ocazional,medie,nu,scazut,persoana_fizica
rural,retail,40,4918,1261,da,saptamanal,usoara,da,ridicat,persoana_fizica
urban,firm_curatenie,173,11290,2590,da,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,4,242,290,nu,saptamanal,medie,nu,mediu,firma_curatenie
periurban,retail,83,12855,2073,da,saptamanal,usoara,da,ridicat,horeca
urban,persoana_fizica,3,176,79,da,lunar,medie,nu,mediu,horeca
urban,persoana_fizica,1,94,178,nu,saptamanal,medie,nu,scazut,persoana_fizica
periurban,horeca,56,7952,3452,nu,saptamanal,medie,da,mediu,horeca
urban,firm_curatenie,34,854,50,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,122,238,da,zilnic,usoara,da,ridicat,persoana_fizica
urban,horeca,103,12564,2437,nu,zilnic,usoara,nu,mediu,horeca
periurban,retail,32,4480,2552,da,lunar,usoara,nu,scazut,persoana_fizica
urban,firm_curatenie,102,8189,1710,da,ocazional,usoara,da,scazut,firma_curatenie
urban,industrial,51,4860,2739,nu,zilnic,medie,nu,mediu,horeca
periurban,industrial,148,10758,4667,nu,zilnic,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,31,5070,1491,da,lunar,usoara,nu,mediu,firma_curatenie
periurban,horeca,76,2646,2463,nu,lunar,usoara,nu,scazut,persoana_fizica
urban,retail,20,3859,1443,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
rural,industrial,86,11233,6610,da,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,49,8747,4855,nu,zilnic,medie,nu,ridicat,horeca
urban,horeca,119,10827,1690,da,lunar,usoara,nu,mediu,horeca
urban,persoana_fizica,4,292,190,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,181,112,da,ocazional,medie,nu,mediu,persoana_fizica
periurban,horeca,96,2763,3582,nu,saptamanal,usoara,nu,mediu,horeca
rural,persoana_fizica,4,129,217,da,lunar,greu,nu,ridicat,persoana_fizica
urban,firm_curatenie,96,6420,1421,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,196,37702,1917,nu,zilnic,usoara,nu,mediu,firma_curatenie
periurban,horeca,81,10552,4297,nu,saptamanal,medie,nu,mediu,firma_curatenie
periurban,horeca,29,3343,588,da,zilnic,medie,da,mediu,firma_curatenie
urban,horeca,112,16129,1062,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,3,267,246,da,zilnic,usoara,da,scazut,firma_curatenie
urban,horeca,139,21410,3081,nu,zilnic,medie,da,scazut,horeca
urban,firm_curatenie,113,9572,1929,nu,ocazional,greu,da,scazut,firma_curatenie
urban,horeca,138,23047,4414,nu,lunar,usoara,da,scazut,firma_curatenie
urban,industrial,289,17567,7113,nu,ocazional,medie,da,scazut,firma_curatenie
urban,horeca,23,1442,5572,da,saptamanal,usoara,nu,scazut,horeca
periurban,horeca,87,9504,4342,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,4,367,242,da,zilnic,medie,da,scazut,firma_curatenie
urban,industrial,380,50593,4838,da,saptamanal,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,13,1029,1855,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,3,161,199,nu,zilnic,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,4,397,217,da,lunar,medie,da,ridicat,persoana_fizica
urban,persoana_fizica,3,349,103,da,saptamanal,usoara,da,scazut,firma_curatenie
urban,firm_curatenie,156,5786,2263,da,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,5,578,180,nu,saptamanal,medie,da,scazut,persoana_fizica
urban,firm_curatenie,185,13071,2357,da,ocazional,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,2,169,153,nu,zilnic,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,5,315,147,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,129,24118,2230,nu,saptamanal,medie,nu,mediu,firma_curatenie
periurban,retail,92,12864,3072,da,zilnic,greu,da,mediu,firma_curatenie
urban,firm_curatenie,18,1077,1396,da,lunar,usoara,nu,mediu,firma_curatenie
urban,retail,31,4109,4083,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,4,684,304,nu,zilnic,usoara,nu,mediu,persoana_fizica
urban,firm_curatenie,138,11910,417,da,zilnic,usoara,nu,scazut,firma_curatenie
periurban,firm_curatenie,139,23309,1222,nu,lunar,usoara,da,scazut,firma_curatenie
periurban,industrial,46,1809,5348,nu,zilnic,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,57,9480,2370,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,22,2478,4132,da,zilnic,usoara,da,scazut,firma_curatenie
urban,horeca,42,2199,3211,da,zilnic,usoara,da,mediu,horeca
urban,persoana_fizica,3,262,190,nu,zilnic,medie,nu,mediu,horeca
urban,persoana_fizica,1,197,108,da,saptamanal,medie,nu,mediu,horeca
urban,firm_curatenie,48,7626,414,da,zilnic,medie,da,scazut,firma_curatenie
urban,horeca,51,6082,2799,nu,zilnic,medie,da,mediu,horeca
urban,firm_curatenie,39,1243,4057,nu,lunar,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,64,5720,1788,da,saptamanal,medie,da,mediu,firma_curatenie
periurban,horeca,94,5638,1840,da,zilnic,usoara,nu,mediu,horeca
rural,persoana_fizica,4,93,236,nu,saptamanal,medie,nu,mediu,persoana_fizica
rural,firm_curatenie,12,1356,50,da,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,111,19862,3118,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,horeca,135,18679,4236,nu,saptamanal,medie,da,ridicat,firma_curatenie
urban,industrial,233,13383,2157,nu,zilnic,medie,nu,mediu,horeca
periurban,industrial,206,24510,9106,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,retail,86,16272,3291,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,146,21513,3377,nu,lunar,medie,da,scazut,firma_curatenie
periurban,firm_curatenie,100,14100,623,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,horeca,30,5818,2728,da,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,115,18605,4383,nu,saptamanal,medie,nu,ridicat,horeca
urban,persoana_fizica,3,107,80,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,retail,60,4563,3636,da,zilnic,greu,nu,mediu,firma_curatenie
urban,retail,42,8121,2284,da,saptamanal,usoara,da,mediu,firma_curatenie
urban,retail,53,5461,3627,da,saptamanal,medie,nu,ridicat,horeca
urban,horeca,127,3963,3326,nu,zilnic,medie,nu,scazut,horeca
urban,persoana_fizica,5,485,312,nu,saptamanal,medie,da,ridicat,persoana_fizica
periurban,horeca,81,11536,1062,da,zilnic,usoara,nu,ridicat,horeca
urban,firm_curatenie,164,32723,2329,da,lunar,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,1,71,79,da,ocazional,medie,nu,ridicat,persoana_fizica
urban,firm_curatenie,186,20027,2419,da,lunar,usoara,da,ridicat,firma_curatenie
rural,horeca,15,2657,3491,nu,saptamanal,greu,nu,mediu,horeca
urban,horeca,12,930,2572,nu,lunar,usoara,nu,ridicat,horeca
urban,persoana_fizica,1,30,137,da,saptamanal,medie,da,mediu,persoana_fizica
periurban,retail,42,7992,2109,da,lunar,usoara,da,mediu,firma_curatenie
periurban,horeca,36,3700,3146,da,lunar,medie,nu,mediu,firma_curatenie
urban,retail,90,9497,2841,nu,lunar,medie,da,ridicat,firma_curatenie
periurban,horeca,32,4096,5898,da,zilnic,usoara,da,scazut,horeca
urban,horeca,135,1440,4310,nu,saptamanal,medie,nu,ridicat,horeca
urban,persoana_fizica,4,747,153,da,saptamanal,usoara,nu,mediu,persoana_fizica
urban,persoana_fizica,3,236,246,da,zilnic,medie,nu,mediu,persoana_fizica
urban,industrial,221,18877,7643,nu,saptamanal,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,66,2843,1344,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,3,245,256,nu,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,5,813,81,nu,ocazional,medie,nu,mediu,persoana_fizica
periurban,industrial,54,8747,2922,nu,zilnic,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,109,20470,575,da,zilnic,usoara,nu,scazut,firma_curatenie
urban,retail,94,8141,2246,nu,ocazional,medie,nu,ridicat,horeca
urban,persoana_fizica,1,144,162,da,ocazional,usoara,nu,ridicat,persoana_fizica
urban,horeca,48,5106,2404,nu,saptamanal,medie,da,mediu,horeca
periurban,persoana_fizica,1,162,265,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,146,21225,3135,da,saptamanal,usoara,nu,mediu,firma_curatenie
rural,persoana_fizica,1,79,264,da,zilnic,usoara,nu,mediu,horeca
urban,retail,82,6065,4451,nu,ocazional,medie,da,mediu,firma_curatenie
urban,persoana_fizica,2,115,367,nu,lunar,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,1,119,188,nu,zilnic,usoara,da,ridicat,persoana_fizica
urban,persoana_fizica,3,579,242,nu,ocazional,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,59,2832,1845,nu,lunar,medie,nu,ridicat,firma_curatenie
rural,firm_curatenie,145,4074,3014,nu,ocazional,usoara,nu,scazut,firma_curatenie
urban,persoana_fizica,1,32,265,da,ocazional,medie,nu,mediu,horeca
urban,horeca,60,9527,2009,da,zilnic,medie,nu,mediu,horeca
periurban,firm_curatenie,19,1453,1486,nu,zilnic,medie,da,scazut,firma_curatenie
urban,persoana_fizica,1,52,310,da,saptamanal,medie,nu,scazut,horeca
periurban,horeca,62,4776,2176,nu,ocazional,greu,nu,mediu,firma_curatenie
urban,horeca,92,12200,2832,da,ocazional,usoara,nu,mediu,horeca
urban,persoana_fizica,1,113,254,nu,saptamanal,usoara,da,ridicat,persoana_fizica
urban,firm_curatenie,148,22389,1834,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,industrial,17,1265,9601,nu,zilnic,usoara,nu,mediu,horeca
rural,retail,95,9109,3739,nu,lunar,usoara,da,mediu,firma_curatenie
urban,persoana_fizica,5,146,129,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,44,1050,1414,nu,saptamanal,medie,da,ridicat,horeca
urban,retail,56,5478,3205,nu,saptamanal,usoara,da,mediu,horeca
urban,retail,16,1076,2437,nu,lunar,medie,nu,scazut,persoana_fizica
periurban,retail,61,7712,171,da,ocazional,usoara,nu,scazut,firma_curatenie
urban,firm_curatenie,57,1035,1029,da,saptamanal,greu,nu,ridicat,firma_curatenie
urban,persoana_fizica,3,99,218,da,zilnic,medie,nu,scazut,firma_curatenie
rural,retail,49,8544,3568,da,lunar,medie,nu,ridicat,horeca
urban,persoana_fizica,3,352,272,da,ocazional,greu,nu,scazut,persoana_fizica
rural,persoana_fizica,1,145,357,da,saptamanal,greu,nu,mediu,persoana_fizica
urban,persoana_fizica,4,679,144,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,2,196,148,nu,zilnic,usoara,nu,ridicat,persoana_fizica
urban,firm_curatenie,20,3092,1974,nu,saptamanal,medie,nu,mediu,firma_curatenie
periurban,persoana_fizica,4,438,65,nu,zilnic,medie,nu,scazut,firma_curatenie
rural,firm_curatenie,152,7952,1996,nu,saptamanal,usoara,da,mediu,firma_curatenie
urban,horeca,49,3633,2706,nu,saptamanal,usoara,da,mediu,horeca
urban,horeca,97,10007,4187,da,lunar,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,2,140,276,da,zilnic,usoara,da,ridicat,persoana_fizica
urban,firm_curatenie,26,1917,2357,nu,zilnic,usoara,da,ridicat,firma_curatenie
urban,persoana_fizica,1,74,200,nu,saptamanal,medie,nu,scazut,persoana_fizica
rural,retail,49,1633,2936,nu,saptamanal,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,33,860,1207,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,49,922,1917,da,lunar,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,81,2517,2016,nu,zilnic,medie,da,scazut,firma_curatenie
urban,retail,11,828,2409,nu,saptamanal,greu,da,mediu,firma_curatenie
urban,persoana_fizica,4,491,186,nu,saptamanal,usoara,da,mediu,persoana_fizica
urban,persoana_fizica,5,228,150,nu,ocazional,greu,nu,mediu,persoana_fizica
